Class,activemq-4.1.0,activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-5.3.0,activemq-5.4.0,activemq-5.5.0,activemq-5.6.0,activemq-5.7.0,activemq-5.8.0,activemq-5.9.0,activemq-5.10.0,activemq-5.11.0,activemq-5.12.0,activemq-5.13.0,activemq-5.14.0,activemq-5.15.0,activemq-5.16.0,activemq-5.17.0,average
activemq-unit-tests/src/test/java/org/apache/activemq/xbean/XBeanXmlTest.java,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,1.368421053
activemq-core/src/main/java/org/apache/activemq/openwire/OpenWireFormat.java,176,631,7,0,10,10,4,43,2,680,0,0,0,0,0,0,0,0,0,82.26315789
activemq-systest/src/main/java/org/apache/activemq/systest/ScenarioTestSuite.java,11,3,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.947368421
activemq-client/src/main/java/org/apache/activemq/transport/multicast/MulticastDatagramHeaderMarshaller.java,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,2.736842105
activemq-core/src/main/java/org/apache/activemq/openwire/v4/SessionInfoMarshaller.java,0,0,0,0,129,0,2,0,0,129,0,0,0,0,0,0,0,0,0,13.68421053
activemq-core/src/test/java/org/apache/activemq/transport/stomp/StompNIOTest.java,0,0,0,0,36,6,2,0,0,30,0,0,0,0,0,0,0,0,0,3.894736842
activemq-openwire-legacy/src/main/java/org/apache/activemq/openwire/v3/ConnectionControlMarshaller.java,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,7.894736842
activemq-client/src/main/java/org/apache/activemq/openwire/v11/WireFormatInfoMarshaller.java,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,8.105263158
activemq-amqp/src/test/java/org/apache/activemq/transport/amqp/client/util/StringArrayConverter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,3.368421053
activemq-core/src/main/java/org/apache/activemq/broker/region/TempTopic.java,0,0,72,0,0,0,2,5,0,73,0,0,0,0,0,0,0,0,0,8
activemq-core/src/main/java/org/apache/activemq/openwire/v6/ConnectionInfoMarshaller.java,0,0,0,0,0,196,2,0,0,196,0,0,0,0,0,0,0,0,0,20.73684211
activemq-core/src/main/java/org/apache/activemq/openwire/v4/MessageDispatchMarshaller.java,0,0,0,0,143,0,2,0,0,143,0,0,0,0,0,0,0,0,0,15.15789474
activemq-unit-tests/src/test/java/org/apache/activemq/test/rollback/RollbacksWhileConsumingLargeQueueTest.java,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,9.578947368
activemq-unit-tests/src/test/java/org/apache/activemq/load/LoadTest.java,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,8.157894737
activemq-core/src/test/java/org/apache/activemq/usecases/MultiBrokersMultiClientsUsingTcpTest.java,84,41,0,0,1,12,2,0,0,86,0,0,0,0,0,0,0,0,0,11.89473684
activemq-core/src/test/java/org/apache/activemq/advisory/MasterSlaveTempQueueMemoryTest.java,0,0,0,203,47,0,6,83,0,221,0,0,0,0,0,0,0,0,0,29.47368421
activemq-core/src/main/java/org/apache/activemq/blob/FTPBlobUploadStrategy.java,0,0,0,0,100,80,0,0,0,72,0,0,0,0,0,0,0,0,0,13.26315789
activemq-openwire-legacy/src/main/java/org/apache/activemq/openwire/v8/ActiveMQBytesMessageMarshaller.java,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.052631579
