Class,drill-0.4.0,drill-0.7.0,drill-0.8.0,drill-0.9.0,drill-1.0.0,drill-1.1.0,drill-1.2.0,drill-1.3.0,drill-1.4.0,drill-1.5.0,drill-1.6.0,drill-1.7.0,drill-1.8.0,drill-1.9.0,drill1.10.0,drill-1.11.0,drill-1.12.0,drill-1.13.0,drill-1.14.0,drill-1.15.0,drill-1.16.0,drill-1.17.0,drill-1.18.0,drill-1.19.0,drill-1.20.0,average
exec/java-exec/src/main/java/org/apache/drill/exec/resourcemgr/config/selectors/package-info.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,2.36
exec/java-exec/src/main/java/org/apache/drill/exec/store/easy/json/parser/RootParser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,9.2
exec/java-exec/src/test/java/org/apache/drill/exec/physical/impl/scan/v3/ScanFixture.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,4,0,3.88
exec/java-exec/src/main/java/org/apache/drill/exec/planner/physical/ProducerConsumerPrel.java,84,13,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4.36
exec/java-exec/src/main/java/org/apache/drill/exec/planner/sql/parser/DrillSqlResetOption.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,4.12
exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/scan/convert/ConvertDoubleToString.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,1.72
exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/statistics/StatisticsAggBatchCreator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,1.48
exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/metadata/MetadataAggregateHelper.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,58,0,0,15.76
exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/xsort/managed/SortMemoryManager.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,527,8,0,4,0,0,796,0,0,73.92
exec/rpc/src/main/java/org/apache/drill/exec/rpc/AbstractRemoteConnection.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,108,27,0,0,0,0,0,0,0,0,14.48
exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/scan/project/MetadataManager.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,4,2,0,0,0,3.16
exec/java-exec/src/main/java/org/apache/drill/exec/store/dfs/DropboxFileSystem.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,11.2
exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/impl/SqlPatternEndsWithMatcher.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,1.92
exec/java-exec/src/test/java/org/apache/drill/test/LegacyOperatorTestBuilder.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,2,0,0,0,0,7.2
logical/src/main/java/org/apache/drill/common/logical/data/Project.java,0,0,0,0,0,0,0,0,92,0,0,21,0,0,0,0,0,0,2,2,0,0,0,0,0,4.68
contrib/format-iceberg/src/main/java/org/apache/drill/exec/store/iceberg/plan/IcebergPluginImplementor.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,8.12
exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/impl/conv/DoubleConvertFrom.java,47,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2.2
drill-yarn/src/main/java/org/apache/drill/yarn/client/FileUploader.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,0,0,0,0,0,0,0,22.04
contrib/storage-hive/core/src/main/java/org/apache/drill/exec/store/hive/writers/primitive/AbstractSingleValueWriter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,1.64
protocol/src/main/java/org/apache/drill/exec/proto/SchemaDefProtos.java,149,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,53,18,0,0,10.08
exec/java-exec/src/main/java/org/apache/drill/exec/planner/index/FunctionalIndexHelper.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,3,0,0,0,8.72
exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/orderedpartitioner/SampleCopierTemplate.java,66,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,3.64
exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/AbstractFuncHolder.java,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,2,0,0,23,0,0,0,4.2
exec/java-exec/src/main/java/org/apache/drill/exec/planner/index/AbstractIndexStatistics.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,2.04
drill-yarn/src/main/java/org/apache/drill/yarn/appMaster/AbstractDrillbitScheduler.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,6.64
exec/vector/src/main/java/org/apache/drill/exec/vector/accessor/ValueType.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,57,0,27,0,0,5,0,4.8
exec/java-exec/src/main/java/org/apache/drill/exec/store/sys/store/provider/ZookeeperPersistentStoreProvider.java,0,0,0,0,0,0,0,0,0,0,89,0,0,0,6,0,0,0,22,2,0,0,0,0,0,4.76
exec/java-exec/src/test/java/org/apache/drill/exec/dotdrill/TestDotDrillUtil.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,3,0,0,0,4.2
exec/java-exec/src/main/java/org/apache/drill/exec/planner/physical/visitor/RuntimeFilterVisitor.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,8,0,0,11,0,17.08
exec/java-exec/src/main/java/org/apache/drill/exec/ops/OperExecContext.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0,0,0,0,7.2
exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/aggregate/HashAggregator.java,69,18,12,0,0,0,0,0,0,0,0,0,0,0,0,19,6,27,10,9,0,0,5,0,0,7
logical/src/main/java/org/apache/drill/common/expression/types/AtomType.java,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2.8
exec/java-exec/src/test/java/org/apache/drill/test/rowSet/RowSetSchema.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,304,0,0,0,0,0,0,0,24.32
exec/java-exec/src/main/java/org/apache/drill/exec/planner/physical/visitor/JoinPrelRenameVisitor.java,72,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,5.84
exec/java-exec/src/main/java/org/apache/drill/exec/record/metadata/schema/parser/SchemaExprParser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,112,0,0,0,8.96
exec/java-exec/src/main/java/org/apache/drill/exec/physical/config/Filter.java,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,1.48
exec/java-exec/src/main/codegen/templates/CastStringTypesToInterval.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,29,0,0,0,5.6
metastore/metastore-api/src/main/java/org/apache/drill/metastore/metadata/PartitionMetadata.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,7.24
exec/java-exec/src/main/java/org/apache/drill/exec/rpc/data/SendProgress.java,22,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1.76
contrib/storage-hive/core/src/test/java/org/apache/drill/exec/store/hive/schema/TestSchemaConversion.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,7.16
exec/java-exec/src/main/java/org/apache/drill/exec/vector/FixedWidthVector.java,5,12,0,0,0,0,21,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92
exec/java-exec/src/main/java/org/apache/drill/exec/ops/OptimizerRulesContext.java,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.76
exec/java-exec/src/test/java/org/apache/drill/exec/store/ParquetRecordReaderTest.java,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.16
exec/rpc/src/main/java/org/apache/drill/exec/rpc/ClientConnection.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0,0,4,0,0,0,0,0,0,1.56
exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/impl/SqlPatternContainsMatcher.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,274,0,0,0,0,0,0,0,13.44
exec/java-exec/src/test/java/org/apache/drill/test/rowSet/schema/UnionBuilder.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,4,0,103,0,0,0,0,8.48
exec/java-exec/src/main/java/org/apache/drill/exec/planner/sql/parser/DrillSqlSetOption.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,3
