Class,1,1.1,1.2,1.3,1.4,1.5.0,1.6.0,2.0.0,2.1.0,2.2.0,2.3.0,2.4.0,2.5.0,2.6.0,2.7.0,2.8.0,2.9.0,2.10.0,2.11.0,2.12.0,jackrabbit-2.13.0,jackrabbit-2.14.0,jackrabbit-2.15.0,jackrabbit-2.16.0,jackrabbit-2.17.0,jackrabbit-2.18.0,jackrabbit-2.19.0,jackrabbit-2.20.0,average
jackrabbit-jcr-tests/src/main/java/org/apache/jackrabbit/test/api/WorkspaceCopyBetweenWorkspacesTest.java,0,0,186,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7.178571429
jackrabbit-core/src/test/java/org/apache/jackrabbit/api/jsr283/retention/HoldTest.java,0,0,0,0,0,0,425,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.35714286
contrib/jcr-server/server/src/java/org/apache/jackrabbit/server/io/BoundedInputStream.java,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.214285714
jcr-rmi/src/java/org/apache/jackrabbit/rmi/client/iterator/ClientNodeTypeIterator.java,9,9,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.928571429
jackrabbit-standalone-components/src/main/java/org/apache/jackrabbit/standalone/cli/CommandLineFactory.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,6.357142857
jackrabbit-api/src/main/java/org/apache/jackrabbit/api/security/user/AuthorizableExistsException.java,0,0,0,0,0,29,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2.714285714
jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/join/ChildNodeJoinMerger.java,0,0,0,0,0,0,0,0,0,98,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.678571429
jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/authorization/acl/EntryCollector.java,0,0,0,0,0,0,0,0,0,306,252,157,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5
contrib/classloader/src/test/java/org/apache/jackrabbit/classloader/TestAll.java,9,9,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.892857143
jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/uuid/VersionFourGenerator.java,0,0,158,0,103,10,2,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.21428571
jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/predicate/NtFilePredicate.java,0,0,0,0,118,2,0,2,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.57142857
jackrabbit-spi-commons/src/test/java/org/apache/jackrabbit/spi/commons/nodetype/constraint/ValueConstraintTest.java,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.928571429
jackrabbit/src/test/java/org/apache/jackrabbit/test/api/ReferencesTest.java,9,9,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.285714286
jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/user/GroupImpl.java,0,0,0,0,0,353,13,255,0,548,73,175,0,6,61,0,0,0,11,0,0,0,0,0,0,27,0,2,54.42857143
jackrabbit-spi-commons/src/main/java/org/apache/jackrabbit/spi/commons/logging/SessionInfoLogger.java,0,0,0,0,0,0,90,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25
contrib/jcr-server/server/src/java/org/apache/jackrabbit/webdav/jcr/JcrDavException.java,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.178571429
contrib/jcr-server/server/src/java/org/apache/jackrabbit/webdav/jcr/version/report/RepositoryDescriptorsReport.java,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.214285714
jackrabbit-spi2dav/src/main/java/org/apache/jackrabbit/spi2davex/Utils.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,48,0,3,0,0,0,0,5.928571429
jackrabbit/src/main/java/org/apache/jackrabbit/core/query/lucene/QueryImpl.java,28,11,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.39285714
jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/observation/ObservationManagerImpl.java,0,0,0,0,215,0,0,172,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429
jackrabbit-jcr-rmi/src/main/java/org/apache/jackrabbit/rmi/remote/RemoteProperty.java,0,0,141,0,5,0,140,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21428571
jackrabbit-jcr-tests/src/main/java/org/apache/jackrabbit/test/api/WorkspaceManagementTest.java,0,0,0,0,0,0,0,87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.142857143
jackrabbit-spi-commons/src/main/java/org/apache/jackrabbit/spi/commons/batch/package-info.java,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.714285714
contrib/jcr-server/client/src/java/org/apache/jackrabbit/webdav/client/methods/VersionControlMethod.java,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.357142857
