Class,release-0.3.0,release-0.4.0,release-0.5.0,release-0.6.0,release-0.7.0,release-0.8.0,release-0.9.0,release-0.10.0,release-0.11.0,release-0.12.0,release-0.13.0,release-0.14.0,release-0.15.0,release-0.16.0,release-0.17.0,average
test/org/apache/pig/test/TestMultiply.java,277,4,0,0,0,0,0,0,24,188,0,0,0,0,0,32.86666667
src/org/apache/pig/impl/logicalLayer/LOSubtract.java,75,0,0,0,0,0,70,0,0,0,0,0,0,0,0,9.666666667
src/org/apache/pig/impl/logicalLayer/validators/InputOutputFileValidator.java,58,0,0,0,0,0,58,0,0,0,0,0,0,0,0,7.733333333
test/org/apache/pig/test/TestBuiltin.java,1268,103,0,0,152,610,268,775,501,177,596,170,349,220,27,347.7333333
contrib/zebra/src/test/org/apache/hadoop/zebra/mapreduce/TableMRSampleSortedTable.java,0,0,0,0,179,0,0,0,0,0,179,0,0,0,0,23.86666667
test/perf/pigmix/src/java/org/apache/pig/test/pigmix/mapreduce/L3.java,0,0,0,0,0,0,0,0,0,242,1,0,0,0,0,16.2
src/org/apache/pig/tools/parameters/ParameterSubstitutionException.java,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,2.133333333
src/org/apache/pig/backend/hadoop/executionengine/tez/runtime/TezOutput.java,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,2.733333333
src/org/apache/pig/builtin/InvokeForDouble.java,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,2.866666667
test/org/apache/pig/test/YarnMiniCluster.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,10.2
test/org/apache/pig/test/TestBatchAliases.java,0,0,0,0,103,10,0,0,28,75,0,3,3,0,0,14.8
test/org/apache/pig/test/utils/GenRandomData.java,275,20,0,0,158,6,0,28,16,0,15,0,0,0,0,34.53333333
contrib/zebra/src/java/org/apache/hadoop/zebra/io/KeyDistribution.java,0,158,0,6,236,0,0,0,0,0,234,0,0,0,0,42.26666667
contrib/zebra/src/java/org/apache/hadoop/zebra/pig/comparator/TupleExpr.java,0,0,0,111,0,0,0,0,0,0,111,0,0,0,0,14.8
src/org/apache/pig/tools/pigstats/spark/SparkCounterGroup.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,6.533333333
src/org/apache/pig/impl/util/CompilerUtils.java,0,0,0,117,0,0,0,0,0,0,0,0,51,34,0,13.46666667
