Class,rel/1.2,rel/1.3,rel/1.4,rel/1.5,rel/1.6.0,rel/1.7.0,rel/1.8.0,rel/1.9.0,rel/1.10.0,rel/1.10.12,average
src/main/org/apache/tools/ant/taskdefs/optional/dotnet/JSharp.java,0,0,0,0,169,100,141,0,0,0,41
src/etc/testcases/taskdefs/fixcrlf/input/Junk9.java,0,0,13,0,0,0,0,0,13,0,2.6
src/testcases/org/apache/tools/ant/taskdefs/optional/RhinoScriptTest.java,0,0,0,0,106,106,0,0,0,0,21.2
src/tests/junit/org/apache/tools/ant/taskdefs/optional/junit/TestFormatter.java,0,0,0,0,0,112,0,0,224,224,56
src/antidote/org/apache/tools/ant/gui/wizard/WizardNavigator.java,0,95,95,0,0,0,0,0,0,0,19
src/testcases/org/apache/tools/ant/types/DirSetTest.java,0,0,0,100,4,100,0,0,0,0,20.4
proposal/antfarm/core/org/apache/tools/ant/ExitException.java,0,21,0,21,0,0,0,0,0,0,4.2
src/tests/junit/org/apache/tools/bzip2/BlockSortTest.java,0,0,0,0,0,0,0,171,340,342,85.3
src/main/org/apache/tools/ant/taskdefs/CallTarget.java,113,2,38,112,84,170,0,2,2,5,52.8
src/tutorial/tasks-start-writing/src/HelloWorld.java,0,0,0,0,0,0,0,0,0,87,8.7
src/tests/junit/org/apache/tools/ant/taskdefs/optional/XmlValidateCatalogTest.java,0,0,0,0,0,83,0,0,154,137,37.4
src/main/org/apache/tools/ant/util/ChainedMapper.java,0,0,0,0,0,60,0,6,4,40,11
src/antidote/org/apache/tools/ant/gui/wizard/AbstractWizardStep.java,0,230,230,0,0,0,0,0,0,0,46
src/antidote/org/apache/tools/ant/gui/acs/ACSTargetElement.java,0,155,155,0,0,0,0,0,0,0,31
src/main/org/apache/tools/ant/taskdefs/condition/IsFalse.java,0,0,0,91,19,61,0,0,0,4,17.5
src/main/org/apache/tools/ant/types/optional/image/Rectangle.java,0,0,0,0,134,87,0,3,3,30,25.7
src/main/org/apache/tools/ant/taskdefs/optional/sos/SOSCheckin.java,0,0,0,257,194,62,0,0,0,10,52.3
src/testcases/org/apache/tools/ant/taskdefs/TaskdefTestSimpleTask.java,0,0,81,81,0,0,0,0,0,0,16.2
proposal/antfarm/core/org/apache/tools/ant/Project.java,0,179,0,179,0,0,0,0,0,0,35.8
src/testcases/org/apache/tools/ant/EnumeratedAttributeTest.java,122,0,0,0,0,0,0,0,0,0,12.2
src/main/org/apache/tools/ant/taskdefs/condition/Equals.java,0,0,78,45,31,62,67,21,0,14,31.8
src/main/org/apache/tools/ant/types/optional/depend/DependScanner.java,0,0,0,254,64,139,12,27,1,90,58.7
src/antidote/org/apache/tools/ant/gui/acs/ACSTaskElementBeanInfo.java,0,134,134,0,0,0,0,0,0,0,26.8
src/tests/junit/org/apache/tools/ant/taskdefs/GUnzipTest.java,0,0,0,0,0,71,0,0,54,41,16.6
src/main/org/apache/tools/ant/types/selectors/BaseSelectorContainer.java,0,0,0,292,82,63,35,33,21,68,59.4
src/testcases/org/apache/tools/ant/types/PolyTest.java,0,0,0,0,105,105,0,0,0,0,21
src/main/org/apache/tools/ant/taskdefs/Parallel.java,0,0,179,68,383,97,123,6,37,66,95.9
src/tests/junit/org/apache/tools/ant/types/AbstractFileSetTest.java,0,0,0,0,0,245,20,0,493,493,125.1
src/main/org/apache/tools/ant/types/selectors/FileSelector.java,0,0,0,85,6,61,0,0,0,17,16.9
src/main/org/apache/tools/ant/types/selectors/SelectorScanner.java,0,0,0,86,12,61,0,2,0,2,16.3
