Class,karaf-2.1.0,karaf-2.2.0,karaf-2.3.0,karaf-2.4.0,karaf-3.0.0,karaf-4.0.0,karaf-4.1.0,karaf-4.2.0,karaf-4.3.0,karaf-4.3.1,karaf-4.4.0,karaf-4.4.1,average
features/core/src/main/java/org/apache/karaf/features/internal/service/EventAdminListener.java,0,0,0,0,0,102,0,6,0,0,0,0,9
specs/java.xml.ws/src/main/java/javax/xml/ws/spi/Provider.java,0,0,0,0,0,0,0,89,0,0,0,0,7.416666667
itests/src/test/java/org/apache/karaf/itests/SshKeyFormatTest.java,0,0,0,0,0,0,86,86,0,0,0,0,14.33333333
itests/src/test/java/org/apache/karaf/shell/itests/HeaderParser.java,204,0,0,0,0,0,0,0,0,0,0,0,17
bundle/command/src/test/java/org/apache/karaf/bundle/command/wikidoc/WikiParserTest.java,0,0,0,0,94,94,0,0,0,0,0,0,15.66666667
main/src/main/java/org/apache/karaf/main/lock/DerbyJDBCLock.java,0,0,0,0,41,2,0,0,0,0,0,0,3.583333333
shell/console/src/main/java/org/apache/karaf/shell/console/Main.java,296,79,97,18,350,0,0,0,0,0,0,0,70
management/boot/src/main/java/org/apache/karaf/management/boot/KarafMBeanServerBuilder.java,0,0,0,72,0,72,0,0,0,0,0,0,12
jaas/blueprint/config/src/main/java/org/apache/karaf/jaas/blueprint/config/impl/NamespaceHandler.java,0,0,0,0,0,177,0,13,2,0,0,0,16
management/mbeans/bundles/src/main/java/org/apache/karaf/management/mbeans/bundles/BundlesMBean.java,0,0,154,0,154,0,0,0,0,0,0,0,25.66666667
shell/scr/src/main/java/org/apache/karaf/shell/scr/action/DeactivateAction.java,0,0,55,0,55,0,0,0,0,0,0,0,9.166666667
docker/src/main/java/org/apache/karaf/docker/command/HistoryCommand.java,0,0,0,0,0,0,0,0,58,0,0,0,4.833333333
itests/test/src/test/java/org/apache/karaf/itests/ConfigTest.java,0,0,0,0,0,0,0,0,68,0,7,0,6.25
http/core/src/test/java/org/apache/karaf/http/core/internal/HttpMBeanImplTest.java,0,0,0,0,37,37,0,0,0,0,0,0,6.166666667
scheduler/src/main/java/org/apache/karaf/scheduler/command/support/CommandJob.java,0,0,0,0,0,0,0,0,46,0,0,0,3.833333333
audit/src/main/java/org/apache/karaf/audit/layout/GelfLayout.java,0,0,0,0,0,0,0,89,0,0,0,0,7.416666667
features/core/src/main/java/org/apache/karaf/features/internal/region/SubsystemResolveContext.java,0,0,0,0,0,383,1,162,35,0,8,0,49.08333333
shell/core/src/main/java/org/apache/karaf/shell/support/parsing/GogoParser.java,0,0,0,0,0,412,0,8,0,0,0,0,35
instance/src/main/java/org/apache/karaf/instance/command/CreateCommand.java,0,0,0,0,0,128,0,0,0,0,0,0,10.66666667
jdbc/src/main/java/org/apache/karaf/jdbc/command/TablesCommand.java,0,0,0,0,0,61,0,0,2,0,0,0,5.25
log/src/main/java/org/apache/karaf/log/core/internal/layout/AbsoluteTimeDateFormat.java,0,0,0,0,0,142,0,9,0,0,0,0,12.58333333
tooling/karaf-maven-plugin/src/it/test-check-dependencies-failure/dependency-module-d/src/main/java/test/D.java,0,0,0,0,29,0,0,0,0,0,0,0,2.416666667
shell/console/src/main/java/org/apache/karaf/shell/console/jline/KarafFileHistory.java,0,0,85,0,85,0,0,0,0,0,0,0,14.16666667
log/core/src/main/java/org/apache/karaf/log/core/LogEventFormatter.java,0,0,0,0,25,25,0,0,0,0,0,0,4.166666667
jdbc/src/main/java/org/apache/karaf/jdbc/command/completers/DataSourcesFileNameCompleter.java,0,0,0,0,0,55,0,0,55,0,0,0,9.166666667
config/command/src/test/java/org/apache/karaf/config/command/EditCommandTest.java,0,0,0,0,107,107,0,0,0,0,0,0,17.83333333
log/src/main/java/org/apache/karaf/log/core/internal/CircularBuffer.java,0,0,0,0,0,0,0,109,121,0,0,0,19.16666667
shell/help/src/main/java/org/apache/karaf/shell/help/impl/SimpleHelpProvider.java,0,0,0,0,48,48,0,0,0,0,0,0,8
bundle/command/src/main/java/org/apache/karaf/bundle/command/Classes.java,0,0,0,0,61,61,0,0,0,0,0,0,10.16666667
tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/ExportFeatureMetaDataMojo.java,0,0,0,0,125,97,34,4,0,11,0,0,22.58333333
util/src/main/java/org/apache/karaf/util/config/PropertiesLoader.java,0,0,0,0,0,249,11,81,20,0,0,0,30.08333333
features/core/src/main/java/org/apache/karaf/features/internal/InstallationState.java,0,0,0,0,35,35,0,0,0,0,0,0,5.833333333
log/src/main/java/org/apache/karaf/log/command/GetLogLevel.java,0,0,0,0,0,63,26,6,0,0,0,0,7.916666667
features/core/src/test/java/org/apache/karaf/features/internal/service/FeaturesServiceImplTest.java,0,0,0,0,0,174,31,261,0,0,0,0,38.83333333
shell/console/src/main/java/org/apache/karaf/shell/console/SubShell.java,0,0,38,0,0,1,12,0,0,0,0,0,4.25
shell/core/src/main/java/org/apache/karaf/shell/api/action/lifecycle/Destroy.java,0,0,0,0,0,34,2,0,0,0,0,0,3
examples/karaf-jpa-example/karaf-jpa-example-provider/karaf-jpa-example-provider-api/src/main/java/org/apache/karaf/examples/jpa/Booking.java,0,0,0,0,0,0,0,0,59,0,0,0,4.916666667
scr/command/src/main/java/org/apache/karaf/scr/command/action/ActivateAction.java,0,0,0,0,48,15,16,51,0,0,0,0,10.83333333
admin/command/src/test/java/org/apache/karaf/admin/command/CreateCommandTest.java,0,6,5,0,54,0,0,0,0,0,0,0,5.416666667
package/core/src/main/java/org/apache/karaf/packages/core/PackageVersion.java,0,0,0,0,52,52,0,0,0,0,0,0,8.666666667
http/src/main/java/org/apache/karaf/http/core/internal/ServletServiceImpl.java,0,0,0,0,0,68,8,40,5,0,77,0,16.5
webconsole/console/src/main/java/org/apache/felix/webconsole/internal/servlet/KarafOsgiManagerActivator.java,0,0,0,0,0,0,75,0,0,0,0,0,6.25
audit/src/main/java/org/apache/karaf/audit/logger/UdpEventLogger.java,0,0,0,0,0,0,0,84,0,0,0,0,7
client/src/main/java/org/slf4j/impl/SimpleLogger.java,0,6,0,0,2,0,2,0,2,0,0,0,1
util/src/main/java/org/apache/karaf/util/config/ConfigurationPID.java,0,0,0,0,0,0,0,0,0,0,96,0,8
diagnostic/boot/src/main/java/org/apache/karaf/diagnostic/core/providers/BundleDumpProvider.java,0,0,0,0,0,85,0,2,0,0,0,0,7.25
main/src/main/java/org/apache/karaf/main/SimpleFileLock.java,0,0,0,11,117,0,0,0,0,0,0,0,10.66666667
