Class,REL_1_5_1,REL_2_5_1,REL_3_0,REL_3_1_FINAL,REL_3_2_FINAL,REL_3_5-FINAL,REL_3_6,REL_3_7,REL_3_8_FINAL,REL_3_9,REL_3_10_FINAL,REL_3_11_FINAL,REL_3_12_FINAL,REL_3_13_FINAL,REL_3_14_FINAL,REL_3_15_FINAL,REL_3_16_FINAL,REL_3_17_FINAL,REL_4_0_0_FINAL,REL_4_1_0,REL_5_0_0,REL_5_1_0,REL_5_2_0,REL_5_2_2,average
trunk/poi/src/main/java/org/apache/poi/ss/usermodel/helpers/ColumnShifter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,137,0,11.41666667
src/ooxml/java/org/apache/poi/xslf/usermodel/XSLFFontData.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,84,0,0,7
poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFRow.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,112,0,37.08333333
trunk/poi-scratchpad/src/test/java/org/apache/poi/hslf/record/TestExMediaAtom.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,0,8.083333333
poi-scratchpad/src/test/java/org/apache/poi/hpbf/model/TestQuillContents.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,0,0,18.66666667
trunk/poi-ooxml/src/test/java/org/apache/poi/xwpf/TestNecessaryOOXMLClasses.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,0,3.583333333
trunk/poi-ooxml/src/main/java/org/apache/poi/xddf/usermodel/chart/XDDFPieChartData.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,211,0,17.58333333
trunk/poi-ooxml/src/main/java/org/apache/poi/xwpf/usermodel/XWPFStyle.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,137,0,11.41666667
poi/src/main/java/org/apache/poi/sl/draw/DrawFontInfo.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,1.708333333
trunk/poi/src/main/java/org/apache/poi/hssf/record/ObjectProtectRecord.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,0,8.083333333
trunk/poi/src/main/java/org/apache/poi/ss/formula/functions/Log.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,4.166666667
poi-ooxml/src/main/java/org/apache/poi/xssf/usermodel/XSSFFirstHeader.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,3.166666667
src/java/org/apache/poi/poifs/filesystem/Ole10NativeException.java,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,8,32,0,0,2.666666667
poi-scratchpad/src/main/java/org/apache/poi/hslf/record/ExMCIMovie.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,4.208333333
src/scratchpad/testcases/org/apache/poi/hssf/record/formula/functions/TestEverything.java,0,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.583333333
poi-scratchpad/src/test/java/org/apache/poi/hslf/model/TestSlideChangeNotes.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,2.625
poi-scratchpad/src/main/java/org/apache/poi/hwpf/model/FieldsTables.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,6.833333333
trunk/poi-scratchpad/src/main/java/org/apache/poi/hdgf/HDGFLZWCompressor.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,243,0,20.25
src/testcases/org/apache/poi/hssf/record/chart/TestFontIndexRecord.java,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,55,0,0,5.666666667
trunk/poi/src/main/java/org/apache/poi/sl/usermodel/TextRun.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,254,0,21.16666667
poi/src/main/java/org/apache/poi/poifs/crypt/EncryptionHeader.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,7.125
src/java/org/apache/poi/ss/usermodel/ConditionalFormattingRule.java,0,0,0,0,0,0,0,0,125,0,0,0,0,38,0,39,293,26,7,0,0,184,0,0,29.66666667
