Class,3.0.1,3.0.2,3.1.2,3.1.3,4,4.0.1,4.0.2,4.1,4.1.1,average
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/testdo/testmap/annotations/Tag2.java,0,0,32,0,32,0,0,0,0,7.111111111
cayenne-gradle-plugin/src/test/java/org/apache/cayenne/tools/GradlePluginTest.java,0,0,0,0,45,0,0,0,2,5.222222222
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/access/ListWithPrefetches.java,0,3,0,0,161,0,0,0,0,18.22222222
framework/cayenne-jpa-unpublished/src/main/java/org/apache/cayenne/jpa/JpaNativeQuery.java,0,0,124,0,0,0,0,0,0,13.77777778
cayenne-server/src/main/java/org/apache/cayenne/reflect/valueholder/ValueHolderToManyProperty.java,0,0,0,0,56,0,0,0,2,6.444444444
cayenne-server/src/main/java/org/apache/cayenne/configuration/DefaultRuntimeProperties.java,0,0,0,0,101,0,0,0,2,11.44444444
cayenne-server/src/test/java/org/apache/cayenne/testdo/things/Bag.java,0,0,0,0,27,0,0,0,2,3.222222222
cayenne-commitlog/src/test/java/org/apache/cayenne/commitlog/db/E3.java,0,0,0,0,27,0,0,0,2,3.222222222
framework/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/EmbeddableTabbedView.java,0,0,125,0,0,0,0,0,0,13.88888889
build-tools/cayenne-test-utilities/src/main/java/org/apache/cayenne/test/file/FileUtil.java,0,0,82,0,0,0,0,0,2,9.333333333
itests/jpa-chapter2/src/main/java/org/apache/cayenne/jpa/itest/ch2/entity/PropertyEmbeddedEntity.java,0,0,48,0,0,0,0,0,0,5.333333333
framework/cayenne-wocompat-unpublished/src/main/java/org/apache/cayenne/wocompat/EOQuery.java,0,0,517,0,517,0,0,0,0,114.8888889
cayenne-server/src/main/java/org/apache/cayenne/rop/ROPRequestContext.java,0,0,0,0,107,0,0,107,0,23.77777778
cayenne-server/src/test/java/org/apache/cayenne/testdo/inheritance_vertical/IvBaseWithLock.java,0,0,0,0,28,0,0,0,2,3.333333333
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/art/auto/_MixedPersistenceStrategy.java,0,0,43,0,0,0,0,0,0,4.777777778
cayenne-server/src/test/java/org/apache/cayenne/CayenneDataObjectRelationshipsIT.java,0,0,0,0,331,0,0,0,2,37
cayenne-server/src/main/java/org/apache/cayenne/graph/NodeDeleteOperation.java,0,0,0,0,46,0,0,0,2,5.333333333
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/graph/DbEntityCellMetadata.java,0,0,52,0,0,0,0,0,2,6
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/action/CopyAttributeRelationshipAction.java,0,0,0,0,72,0,0,0,2,8.222222222
cayenne-crypto/src/main/java/org/apache/cayenne/crypto/transformer/value/ValueDecryptor.java,0,0,0,0,34,0,0,0,2,4
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/exp/ParsedExpQualifierCompatTest.java,0,0,198,0,289,0,0,0,0,54.11111111
cayenne-dbsync/src/main/java/org/apache/cayenne/dbsync/merge/DbRelationshipDictionary.java,0,0,0,0,83,0,4,32,2,13.44444444
cayenne-rop-server/src/test/java/org/apache/cayenne/configuration/rop/server/ROPServletTest.java,0,0,0,0,0,0,0,191,2,21.44444444
itests/cayenne-tools-itest/src/test/java/org/apache/cayenne/tools/CayenneGeneratorIntegrationTest.java,0,0,179,0,33,0,0,186,0,44.22222222
tutorials/tutorial-rop-client-http2/src/main/java/org/apache/cayenne/tutorial/persistent/client/auto/_Artist.java,0,0,0,0,96,0,0,0,0,10.66666667
cayenne-server/src/test/java/org/apache/cayenne/datasource/PoolingDataSource_FailingValidationQueryIT.java,0,0,0,0,63,0,0,0,2,7.222222222
cayenne-crypto/src/main/java/org/apache/cayenne/crypto/transformer/value/DefaultValueTransformerFactory.java,0,0,0,0,178,0,0,0,2,20
cayenne-server/src/test/java/org/apache/cayenne/access/DataContextEJBQLDeletePKIT.java,0,0,0,0,82,0,0,4,2,9.777777778
cayenne-server/src/main/java/org/apache/cayenne/configuration/ObjectContextFactory.java,0,0,0,0,41,0,0,0,2,4.777777778
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/art/auto/_GeneratedColumnCompKey.java,0,0,34,0,0,0,0,0,0,3.777777778
build-tools/maven-cayenne-build-plugin/src/main/java/org/apache/cayenne/maven/plugin/aggregator/SourcesAggregatorMojo.java,0,0,0,0,46,0,0,0,0,5.111111111
cayenne-crypto/src/test/java/org/apache/cayenne/crypto/transformer/value/FloatConverterTest.java,0,0,0,0,61,0,0,0,2,7
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/action/CreateObjEntityFromDbAction.java,0,0,0,0,37,0,0,0,2,4.333333333
cayenne-server/src/main/java/org/apache/cayenne/query/MappedExec.java,0,0,0,0,77,0,0,0,2,8.777777778
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/dba/DbAdapterFactory.java,0,0,4,0,44,0,0,0,0,5.333333333
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/conn/PooledConnectionImplTest.java,0,0,0,0,51,0,0,0,0,5.666666667
framework/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/action/NewProjectAction.java,0,0,83,0,0,0,0,0,0,9.222222222
framework/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/undo/CayenneUndoableEdit.java,0,0,46,0,0,0,0,0,0,5.111111111
cayenne-client/src/test/java/org/apache/cayenne/util/ObjectDetachOperationIT.java,0,0,0,0,120,0,0,0,2,13.55555556
cayenne-server/src/test/java/org/apache/cayenne/exp/parser/ExpressionEvaluateInMemoryTest.java,0,0,0,0,134,0,0,0,2,15.11111111
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/testdo/testmap/auto/_Testmap.java,0,0,118,0,118,0,0,0,0,26.22222222
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/access/ClientServerChannelQueryTest.java,0,0,93,0,239,0,0,0,0,36.88888889
framework/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/dialog/datamap/LockingUpdateDialog.java,0,0,100,0,0,0,0,0,0,11.11111111
cayenne-server/src/test/java/org/apache/cayenne/testdo/relationships/Relationships.java,0,0,0,0,36,0,0,0,2,4.222222222
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/dbimport/DatabaseSchemaLoader.java,0,0,0,0,0,0,0,311,2,34.77777778
cayenne-server/src/main/java/org/apache/cayenne/map/EntityListenerFactory.java,0,0,0,0,44,0,0,44,0,9.777777778
