Class,2.0.0,2.1.0,2.2.0,2.3.0,2.4.0,rel/2.5.0,average
src/java/org/apache/ivy/core/cache/DefaultRepositoryCacheManager.java,1109,95,82,225,620,406,422.8333333
src/java/org/apache/ivy/core/event/retrieve/RetrieveEvent.java,46,0,0,92,7,2,24.5
src/java/fr/jayasoft/ivy/filter/AndFilter.java,20,0,0,0,0,0,3.333333333
src/java/org/apache/ivy/util/HostUtil.java,53,0,0,0,10,6,11.5
src/java/fr/jayasoft/ivy/DefaultDependencyArtifactDescriptor.java,123,0,0,0,0,0,20.5
test/java/org/apache/ivy/plugins/repository/vfs/VfsRepositoryTest.java,276,0,0,0,0,203,79.83333333
test/java/org/apache/ivy/ant/IvyTaskTest.java,104,0,0,0,20,24,24.66666667
src/java/org/apache/ivy/osgi/util/DelegetingHandler.java,0,0,0,635,635,0,211.6666667
test/java/org/apache/ivy/osgi/updatesite/UpdateSiteLoaderTest.java,0,0,0,93,25,34,25.33333333
src/java/fr/jayasoft/ivy/ResolveData.java,96,0,0,0,0,0,16
test/java/org/apache/ivy/core/event/IvyEventFilterTest.java,109,0,0,0,17,19,24.16666667
src/java/fr/jayasoft/ivy/repository/TransferListener.java,16,0,0,0,0,0,2.666666667
src/example/multi-project/projects/size/src/size/FileSize.java,70,0,0,0,0,27,16.16666667
src/java/fr/jayasoft/ivy/latest/LatestLexicographicStrategy.java,48,0,0,0,0,0,8
src/java/org/apache/ivy/plugins/matcher/GlobPatternMatcher.java,102,0,0,0,18,22,23.66666667
src/java/org/apache/ivy/tools/analyser/RepositoryAnalyser.java,59,0,0,0,13,12,14
src/java/org/apache/ivy/ant/IvyConflict.java,0,0,0,77,0,16,15.5
src/example/ivyrep/src/example/Hello.java,35,0,0,0,0,0,5.833333333
src/java/org/apache/ivy/core/module/descriptor/ConfigurationGroup.java,0,72,0,144,15,20,41.83333333
src/java/fr/jayasoft/ivy/LatestStrategy.java,33,0,0,0,0,0,5.5
src/java/fr/jayasoft/ivy/ModuleId.java,65,0,0,0,0,0,10.83333333
src/java/org/apache/ivy/core/module/id/ModuleRevisionId.java,325,14,24,0,104,78,90.83333333
src/java/org/apache/ivy/core/module/descriptor/DefaultExtendsDescriptor.java,0,0,79,171,17,13,46.66666667
src/java/fr/jayasoft/ivy/util/ChecksumHelper.java,101,0,0,0,0,0,16.83333333
src/java/fr/jayasoft/ivy/latest/LatestTimeStrategy.java,26,0,0,0,0,0,4.333333333
src/java/fr/jayasoft/ivy/ant/PackageMapping.java,50,0,0,0,0,0,8.333333333
src/java/org/apache/ivy/core/retrieve/RetrieveOptions.java,133,0,16,44,29,46,44.66666667
test/java/org/apache/ivy/ant/IvyRetrieveTest.java,389,10,1,0,26,156,97
test/java/fr/jayasoft/ivy/ConfigureTest.java,43,0,0,0,0,0,7.166666667
src/java/org/apache/ivy/core/sort/SortEngine.java,116,0,4,16,39,17,32
src/java/org/apache/ivy/ant/IvyFindRevision.java,104,6,0,2,0,2,19
src/java/org/apache/ivy/plugins/latest/LatestRevisionStrategy.java,197,0,0,1,10,48,42.66666667
src/java/org/apache/ivy/plugins/repository/Resource.java,102,0,0,0,24,44,28.33333333
src/example/dependence/dependee/src/standalone/Main.java,64,0,0,0,0,10,12.33333333
src/java/org/apache/ivy/core/LogOptions.java,57,0,0,0,16,2,12.5
src/java/org/apache/ivy/osgi/obr/filter/MultiOperatorFilter.java,0,0,0,97,97,0,32.33333333
src/java/fr/jayasoft/ivy/ant/IvyConvertPom.java,63,0,0,0,0,0,10.5
test/java/org/apache/ivy/plugins/resolver/JarResolverTest.java,0,0,0,104,0,21,20.83333333
src/java/org/apache/ivy/core/search/SearchEngine.java,399,0,73,0,119,272,143.8333333
src/java/org/apache/ivy/osgi/updatesite/xml/Require.java,0,0,0,73,0,2,12.5
src/java/fr/jayasoft/ivy/ModuleDescriptor.java,126,0,0,0,0,0,21
src/java/org/apache/ivy/util/extendable/UnmodifiableExtendableItem.java,99,0,0,0,14,37,25
src/java/org/apache/ivy/osgi/core/ManifestHeaderElement.java,0,0,0,123,44,41,34.66666667
src/java/org/apache/ivy/plugins/latest/LatestTimeStrategy.java,36,0,0,0,0,10,7.666666667
test/java/org/apache/ivy/ant/AntTestHelper.java,34,0,0,0,2,34,11.66666667
src/java/org/apache/ivy/core/resolve/DownloadOptions.java,27,0,0,0,2,2,5.166666667
src/example/multi-project/projects/sizewhere/src/sizewhere/Main.java,122,0,0,0,0,46,28
src/java/org/apache/ivy/util/MessageLogger.java,105,0,0,0,25,50,30
src/java/fr/jayasoft/ivy/circular/WarnCircularDependencyStrategy.java,22,0,0,0,0,0,3.666666667
test/java/fr/jayasoft/ivy/resolver/MockResolver.java,88,0,0,0,0,0,14.66666667
src/java/fr/jayasoft/ivy/namespace/NamespaceTransformer.java,15,0,0,0,0,0,2.5
src/java/fr/jayasoft/ivy/repository/ssh/SshRepository.java,395,0,0,0,0,0,65.83333333
src/java/org/apache/ivy/osgi/util/VersionRange.java,0,0,0,372,0,95,77.83333333
test/java/org/apache/ivy/osgi/obr/OBRXMLWriterTest.java,0,0,0,0,95,27,20.33333333
src/java/fr/jayasoft/ivy/extendable/UnmodifiableExtendableItem.java,64,0,0,0,0,0,10.66666667
src/java/org/apache/ivy/core/publish/PublishOptions.java,172,0,11,0,10,4,32.83333333
src/java/org/apache/ivy/osgi/repo/RepositoryManifestIterable.java,0,0,0,73,22,11,17.66666667
src/java/fr/jayasoft/ivy/repository/url/URLResource.java,84,0,0,0,0,0,14
src/java/org/apache/ivy/core/report/ConfigurationResolveReport.java,375,6,0,0,156,86,103.8333333
src/java/org/apache/ivy/core/event/IvyEvent.java,127,0,2,0,4,43,29.33333333
src/java/fr/jayasoft/ivy/IvyAware.java,10,0,0,0,0,0,1.666666667
src/java/org/apache/ivy/plugins/matcher/ExactPatternMatcher.java,55,0,0,0,7,6,11.33333333
src/java/org/apache/ivy/osgi/filter/CompareFilter.java,0,0,0,0,138,35,28.83333333
src/java/fr/jayasoft/ivy/ant/IvyResolve.java,255,0,0,0,0,0,42.5
src/java/org/apache/ivy/plugins/trigger/LogTrigger.java,125,0,0,250,32,20,71.16666667
test/java/org/apache/ivy/ant/IvyArtifactPropertyTest.java,107,0,0,0,6,62,29.16666667
src/java/org/apache/ivy/core/resolve/VisitNode.java,499,15,31,11,49,94,116.5
src/java/org/apache/ivy/core/cache/DownloadListener.java,34,0,0,68,8,8,19.66666667
src/java/fr/jayasoft/ivy/repository/file/FileResource.java,64,0,0,0,0,0,10.66666667
src/java/org/apache/ivy/core/resolve/ResolveData.java,270,0,33,96,88,114,100.1666667
test/java/org/apache/ivy/core/deliver/DeliverTest.java,0,0,100,200,12,44,59.33333333
src/java/fr/jayasoft/ivy/DefaultDependencyDescriptor.java,436,0,0,0,0,0,72.66666667
src/java/fr/jayasoft/ivy/xml/XmlModuleDescriptorParser.java,531,0,0,0,0,0,88.5
src/java/org/apache/ivy/plugins/matcher/ExactOrRegexpPatternMatcher.java,62,0,0,0,8,8,13
src/java/fr/jayasoft/ivy/IvyNode.java,1528,0,0,0,0,0,254.6666667
src/java/fr/jayasoft/ivy/ArtifactOrigin.java,26,0,0,0,0,0,4.333333333
src/java/fr/jayasoft/ivy/repository/sftp/SFTPResource.java,72,0,0,0,0,0,12
src/java/org/apache/ivy/plugins/repository/AbstractRepository.java,136,0,0,0,0,18,25.66666667
test/java/fr/jayasoft/ivy/ant/IvyPublishTest.java,354,0,0,0,0,0,59
src/java/org/apache/ivy/plugins/repository/jar/JarResource.java,0,0,0,73,0,2,12.5
src/java/org/apache/ivy/osgi/repo/RelativeURLRepository.java,0,0,0,73,4,24,16.83333333
src/java/org/apache/ivy/plugins/namespace/NamespaceTransformer.java,26,0,0,0,0,6,5.333333333
src/java/org/apache/ivy/core/retrieve/RetrieveEngine.java,401,37,31,108,173,238,164.6666667
test/java/org/apache/ivy/osgi/obr/OBRParserTest.java,0,0,0,48,51,25,20.66666667
test/java/org/apache/ivy/osgi/core/ManifestHeaderTest.java,0,0,0,115,5,217,56.16666667
src/java/org/apache/ivy/plugins/circular/CircularDependencyException.java,43,0,0,0,0,15,9.666666667
src/java/org/apache/ivy/plugins/circular/CircularDependencyHelper.java,86,0,0,0,4,52,23.66666667
src/example/multi-project/projects/list/src/list/Main.java,122,0,0,0,0,41,27.16666667
src/java/fr/jayasoft/ivy/resolver/RepositoryResolver.java,243,0,0,0,0,0,40.5
src/java/fr/jayasoft/ivy/resolver/ResolvedModuleRevisionProxy.java,61,0,0,0,0,0,10.16666667
src/java/org/apache/ivy/core/cache/RepositoryCacheManager.java,160,8,2,361,37,202,128.3333333
test/java/org/apache/ivy/core/repository/RepositoryManagementEngineTest.java,68,0,0,136,27,20,41.83333333
src/java/fr/jayasoft/ivy/version/SubVersionMatcher.java,24,0,0,0,0,0,4
src/java/fr/jayasoft/ivy/event/resolve/EndResolveEvent.java,21,0,0,0,0,0,3.5
test/java/org/apache/ivy/ant/IvyDeliverTest.java,436,28,61,58,192,147,153.6666667
src/java/org/apache/ivy/core/event/retrieve/StartRetrieveArtifactEvent.java,0,31,0,62,3,2,16.33333333
src/java/org/apache/ivy/util/url/CredentialsStore.java,56,0,15,0,3,10,14
src/java/fr/jayasoft/ivy/resolver/SshResolver.java,65,0,0,0,0,0,10.83333333
test/java/org/apache/ivy/ant/IvyArtifactReportTest.java,67,0,0,0,0,43,18.33333333
test/java/fr/jayasoft/ivy/resolver/URLResolverTest.java,292,0,0,0,0,0,48.66666667
src/java/org/apache/ivy/core/pack/PackingRegistry.java,0,0,0,0,43,4,7.833333333
src/java/fr/jayasoft/ivy/ant/IvyInfo.java,75,0,0,0,0,0,12.5
test/java/org/apache/ivy/plugins/parser/ModuleDescriptorParserRegistryTest.java,61,0,0,0,8,11,13.33333333
src/java/org/apache/ivy/core/event/IvyListener.java,24,0,0,0,0,4,4.666666667
