Class,drill-0.4.0,drill-0.7.0,drill-0.8.0,drill-0.9.0,drill-1.0.0,drill-1.1.0,drill-1.2.0,drill-1.3.0,drill-1.4.0,drill-1.5.0,drill-1.6.0,drill-1.7.0,drill-1.8.0,drill-1.9.0,drill1.10.0,drill-1.11.0,drill-1.12.0,drill-1.13.0,drill-1.14.0,drill-1.15.0,drill-1.16.0,drill-1.17.0,drill-1.18.0,drill-1.19.0,drill-1.20.0,,average
exec/java-exec/src/main/java/org/apache/drill/exec/expr/CodeGenerator.java,0,49,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,,3.08
exec/java-exec/src/main/codegen/templates/NewValueFunctions.java,0,0,0,0,0,105,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,2,0,,7.2
exec/java-exec/src/main/resources/rest/static/css/bootstrap.min.css,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.28
exec/rpc/src/main/java/org/apache/drill/exec/rpc/RpcMetrics.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,0.16
exec/vector/src/main/antlr4/org/apache/drill/exec/record/metadata/schema/parser/SchemaLexer.g4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,0.32
exec/java-exec/src/test/resources/functions/cast/testICastNullExp.json,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.36
exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/aggregate/SpilledRecordbatch.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,,0.8
contrib/storage-kafka/src/test/java/org/apache/drill/exec/store/kafka/decoders/MessageReaderFactoryTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,0.24
exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/limit/LimitRecordBatch.java,29,53,0,0,18,0,2,0,0,0,0,0,0,4,35,0,0,0,0,0,0,28,0,0,0,,6.76
exec/java-exec/src/test/java/org/apache/drill/test/rowSet/test/TestFixedWidthWriter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,0.12
exec/java-exec/src/test/java/org/apache/drill/exec/physical/impl/TestStringFunctions.java,47,24,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,111,0,0,0,0,0,0,0,,7.84
exec/vector/src/main/codegen/templates/BaseReader.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,40,0,0,,2.8
exec/java-exec/src/main/java/org/apache/drill/exec/testing/ControlsInjectorFactory.java,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.52
