Class,cassandra-0.4.0-final,cassandra-0.5.0,cassandra-0.6.0,cassandra-0.7.0,cassandra-0.8.0,cassandra-1.0.0,cassandra-1.1.0,cassandra-1.2.0,cassandra-2.0.0,cassandra-2.1.0,cassandra-2.2.0,cassandra-3.0.0,cassandra-3.1,cassandra-3.2,cassandra-3.3,cassandra-3.4,cassandra-3.5,cassandra-3.6,cassandra-3.7,cassandra-3.8,cassandra-4.0.0,cassandra-4.0.5,,average
src/java/org/apache/cassandra/service/DigestMismatchException.java,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.727272727
test/unit/org/apache/cassandra/MethodComparator.java,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.636363636
test/microbench/org/apache/cassandra/test/microbench/PendingRangesBench.java,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,,4.045454545
src/java/org/apache/cassandra/service/QueryState.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,,0.272727273
src/java/org/apache/cassandra/tools/NodeProbe.java,24,253,0,43,7,14,36,20,53,2,0,0,0,0,0,0,0,0,0,0,0,0,,20.54545455
test/resources/UnsortedCF.json,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.181818182
interface/gen-java/org/apache/cassandra/service/InvalidRequestException.java,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
src/java/org/apache/cassandra/db/migration/DropColumnFamily.java,0,0,0,128,96,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.13636364
test/unit/org/apache/cassandra/locator/NetworkTopologyStrategyTest.java,0,0,0,0,37,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.5
test/unit/org/apache/cassandra/concurrent/SEPExecutorTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,,6.772727273
test/distributed/org/apache/cassandra/distributed/upgrade/MixedModeReadTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,0.181818182
src/java/org/apache/cassandra/io/util/MemoryInputStream.java,0,0,0,0,0,0,0,0,7,0,19,0,0,0,0,0,0,0,0,0,0,0,,1.181818182
src/java/org/apache/cassandra/streaming/StreamOut.java,0,0,0,35,0,0,26,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.272727273
src/java/org/apache/cassandra/net/IAsyncResult.java,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.636363636
src/java/org/apache/cassandra/streaming/StreamInManager.java,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.181818182
src/java/org/apache/cassandra/locator/DynamicEndpointSnitch.java,0,0,0,42,9,14,25,94,0,34,0,0,0,0,0,0,0,0,0,0,0,0,,9.909090909
internode/cassandra.genavro,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.363636364
test/unit/org/apache/cassandra/tools/SSTableExportTest.java,0,0,0,39,6,0,32,174,81,0,52,0,0,0,0,0,0,0,0,0,0,155,,24.5
src/java/org/apache/cassandra/db/IColumnContainer.java,13,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.818181818
src/java/org/apache/cassandra/cql3/Terms.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0.045454545
src/java/org/apache/cassandra/io/IFileWriter.java,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.045454545
src/java/org/apache/cassandra/db/filter/SSTableTimeIterator.java,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.181818182
interface/thrift/gen-java/org/apache/cassandra/thrift/NotFoundException.java,0,0,11,21,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.181818182
src/java/org/apache/cassandra/db/DefsTable.java,0,0,0,8,22,0,2,154,95,0,0,0,0,0,0,0,0,0,0,0,0,0,,12.77272727
src/java/org/apache/cassandra/db/SchemaCheckVerbHandler.java,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.272727273
test/unit/org/apache/cassandra/db/marshal/TypeValidationTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,,0.954545455
bin/source-conf.ps1,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,,5.181818182
src/java/org/apache/cassandra/streaming/FileStatus.java,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7
src/java/org/apache/cassandra/db/rows/Row.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,,1.227272727
test/unit/org/apache/cassandra/utils/memory/NativeAllocatorTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,,9.363636364
src/java/org/apache/cassandra/serializers/MapSerializer.java,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,,0.772727273
