Class,release-0.2.0,release-0.3.0,release-0.4.0,release-0.5.0,release-0.6.0,release-0.7.0,release-0.8.0,release-0.9.0,release-0.10.0,release-0.11.0,release-0.12.0,release-0.13.0,release-0.14.0,release-0.15.0,release-0.16.0,release-0.17.0,release-0.18.0,release-0.19.0,release-0.20.0,release-0.21.0,release-0.22.0,release-0.23.0,release-1.0.0,release-1.1.0,release-1.2.0,release-2.2.0,release-2.3.0,release-2.4.0,release-2.5.0,release-2.6.0,release-2.7.0,rel/release-2.8.0,rel/release-2.9.0,rel/release-2.10.0,rel/release-3.0.0,rel/release-3.1.0,rel/release-3.2.0,rel/release-3.3.0,rel/release-3.3.4,average
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/auth/RoleModel.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.051282051
hadoop-hdds/container-service/src/main/java/org/apache/hadoop/ozone/container/keyvalue/interfaces/ChunkManager.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,2.051282051
src/examples/org/apache/hadoop/examples/NNBench.java,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.128205128
hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/record/BinaryRecordInput.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0.179487179
src/test/org/apache/hadoop/io/TestSequenceFileSerialization.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.307692308
hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/record/TestBuffer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,124,0,0,0,0,6.358974359
src/java/org/apache/hadoop/mapred/MapOutputLocation.java,0,31,13,0,0,52,12,15,0,0,5,38,0,0,0,72,377,0,0,0,0,0,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.56410256
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/TestS3ATemporaryCredentials.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,24,0,0,0,0,1.846153846
hadoop-tools/hadoop-azure-datalake/src/test/java/org/apache/hadoop/fs/adl/live/AdlStorageConfiguration.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,42,0,0,0,0,3.230769231
hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/ipc/TestRpcBase.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.641025641
