Class,Xerces-J_1_1_0,Xerces-J_1_2_0,Xerces-J_1_3_0,Xerces-J_1_4_0,Xerces-J_2_0_0,Xerces-J_2_1_0,Xerces-J_2_2_0,Xerces-J_2_3_0,Xerces-J_2_4_0,Xerces-J_2_5_0,Xerces-J_2_6_0,Xerces-J_2_7_0,Xerces-J_2_8_0,Xerces-J_2_9_0,Xerces-J_2_10_0,Xerces-J_2_11_0,Xerces-J_2_12_0,,average
src/org/apache/xerces/util/SoftReferenceSymbolTable.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,,1.764705882
src/org/apache/xerces/impl/dv/xs/DurationDV.java,0,0,0,0,0,0,0,0,0,0,0,141,0,0,8,0,0,,8.764705882
src/org/apache/xerces/xinclude/XIncludeTextReader.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,0.470588235
src/org/apache/xerces/dom/ParentNode.java,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,,0.529411765
src/org/apache/xerces/util/EncodingMap.java,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,,1.294117647
src/org/apache/xerces/impl/XMLDocumentScannerImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,,1.235294118
build.xml,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,1,,12.94117647
src/org/apache/xerces/impl/xs/XMLSchemaValidator.java,0,0,0,0,0,0,0,0,0,0,0,200,82,0,14,57,18,,21.82352941
src/org/apache/xerces/impl/xpath/regex/RegularExpression.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2378,65,0,,143.7058824
,0,0,0,0,0,0,0,0,0,0,0,2914,909,1010,5618,256,205,10912,
