Class,release-1.1,release-1.2,release-1.3,release-1.4,release-1.5,release-1.6,release-1.7,release-1.8,release-1.9,release-1.10,release-1.12,release-1.13,release-1.14,release-1.15,release-1.16,release-1.17,release-1.18,release-2.0,release-2.1,release-2.2,release-2.3,release-2.4,average
src/java/org/apache/nutch/util/DomUtil.java,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.409090909
src/plugin/parse-zip/src/java/org/apache/nutch/parse/zip/ZipTextExtractor.java,0,0,0,0,2,0,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1.090909091
src/plugin/parse-html/src/test/org/apache/nutch/parse/html/TestDOMContentUtils.java,0,0,0,7,0,0,0,5,0,0,0,0,16,0,0,0,0,0,0,0,12,0,1.818181818
src/plugin/parse-tika/src/java/org/apache/nutch/parse/tika/HTMLMetaProcessor.java,0,0,0,0,0,0,6,0,0,0,0,0,0,104,0,23,23,0,0,0,0,0,7.090909091
src/java/org/apache/nutch/net/URLNormalizers.java,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,16,0.909090909
src/java/org/apache/nutch/indexer/elastic/ElasticWriter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0.272727273
src/test/org/apache/nutch/util/DumpFileUtilTest.java,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,3.090909091
src/plugin/parse-tika/src/test/org/apache/nutch/parse/tika/DOMContentUtilsTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.318181818
src/test/org/apache/nutch/segment/TestSegmentMerger.java,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.227272727
src/java/org/apache/nutch/hostdb/ReadHostDb.java,0,0,0,0,0,0,0,0,0,0,0,5,25,8,4,0,0,0,0,0,0,0,1.909090909
src/java/org/apache/nutch/indexer/solr/SolrMappingReader.java,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272727273
src/plugin/index-geoip/src/java/org/apache/nutch/indexer/geoip/GeoIPDocumentCreator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,6.318181818
src/java/org/apache/nutch/fetcher/FetcherJob.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,26,29,3.363636364
src/java/org/apache/nutch/crawl/GeneratorJob.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,40,21,108,8
src/plugin/parse-tika/src/java/org/apache/nutch/parse/tika/TikaParser.java,0,0,0,0,0,0,0,1,0,8,0,0,29,0,31,14,14,0,6,0,8,2,5.136363636
