Class,rel/1.2,rel/1.3,rel/1.4,rel/1.5,rel/1.6.0,rel/1.7.0,rel/1.8.0,rel/1.9.0,rel/1.10.0,rel/1.10.12,,average
src/main/org/apache/tools/ant/taskdefs/optional/extension/Specification.java,0,0,0,0,0,0,0,8,0,0,,0.8
manual/Tasks/conditions.html,0,0,0,0,0,0,0,2,0,0,,0.2
docs/manual/CoreTasks/loadresource.html,0,0,0,0,0,0,3,0,0,0,,0.3
manual/Tasks/import.html,0,0,0,0,0,0,0,4,0,0,,0.4
manual/Types/permissions.html,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/filters/SortFilter.java,0,0,0,0,0,0,0,2,0,0,,0.2
manual/Tasks/exec.html,0,0,0,0,0,0,0,2,0,0,,0.2
manual/properties.html,0,0,0,0,0,0,0,0,0,41,,4.1
src/main/org/apache/tools/ant/util/RegexpPatternMapper.java,0,0,0,0,0,0,0,4,0,0,,0.4
src/tests/junit/org/apache/tools/ant/util/UnicodeUtilTest.java,0,0,0,0,0,0,0,30,0,0,,3
src/main/org/apache/tools/ant/types/selectors/ContainsRegexpSelector.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/util/optional/JavaxScriptRunner.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/types/ZipScanner.java,0,0,0,0,0,0,11,0,0,0,,1.1
manual/Tasks/input.html,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/util/ContainerMapper.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/tests/antunit/taskdefs/exec/parrot.sh,0,0,0,0,0,19,0,0,0,0,,1.9
src/main/org/apache/tools/ant/taskdefs/optional/Javah.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/etc/testcases/core/taskcontainer.xml,0,0,0,0,10,0,0,0,0,0,,1
src/main/org/apache/tools/ant/taskdefs/optional/net/FTP.java,0,0,0,0,0,4,0,6,0,36,,4.6
manual/Tasks/ftp.html,0,0,0,0,0,0,0,4,0,0,,0.4
src/main/org/apache/tools/ant/taskdefs/PumpStreamHandler.java,0,0,0,0,0,0,0,4,0,0,,0.4
docs/manual/CoreTasks/genkey.html,0,0,0,0,9,0,0,0,0,0,,0.9
src/etc/testcases/taskdefs/subant/subant-test1/mysubant.xml,0,0,0,0,0,9,0,0,0,0,,0.9
manual/Types/namespace.html,0,0,0,0,0,0,0,2,0,0,,0.2
manual/Tasks/junit.html,0,0,0,0,0,0,0,4,0,0,,0.4
manual/Tasks/ccm.html,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/filters/TabsToSpaces.java,0,0,0,0,0,0,0,2,0,0,,0.2
manual/Tasks/cvs.html,0,0,0,0,0,0,0,2,0,0,,0.2
manual/tutorial-writing-tasks.html,0,0,0,0,0,0,0,4,0,0,,0.4
contributors.xml,0,0,0,0,0,4,6,4,0,0,,1.4
src/main/org/apache/tools/ant/util/regexp/JakartaOroRegexp.java,0,0,0,0,5,0,0,0,0,0,,0.5
src/etc/testcases/filters/build.xml,0,0,0,0,20,0,0,0,0,0,,2
src/main/org/apache/tools/ant/taskdefs/optional/sound/SoundTask.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/Ant.java,0,0,0,0,0,0,6,2,0,0,,0.8
src/main/org/apache/tools/ant/types/optional/image/Ellipse.java,0,0,0,0,0,0,0,2,0,0,,0.2
docs/manual/CoreTasks/conditions.html,0,0,0,0,5,0,0,0,0,0,,0.5
src/main/org/apache/tools/ant/taskdefs/optional/unix/Symlink.java,0,0,0,0,0,22,12,0,0,0,,3.4
src/etc/testcases/taskdefs/java.xml,0,0,0,0,0,0,0,8,0,0,,0.8
