Class,activemq-4.1.0,activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-5.3.0,activemq-5.4.0,activemq-5.5.0,activemq-5.6.0,activemq-5.7.0,activemq-5.8.0,activemq-5.9.0,activemq-5.10.0,activemq-5.11.0,activemq-5.12.0,activemq-5.13.0,activemq-5.14.0,activemq-5.15.0,activemq-5.16.0,activemq-5.17.0,,average
activemq-unit-tests/src/test/java/org/apache/activemq/broker/virtual/CustomVirtualTopicInterceptorWithLeadingWildcardTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,,12
activemq-core/src/test/resources/org/apache/activemq/config/sample-conf/memory-example.xml,16,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.578947368
activemq-unit-tests/src/test/java/org/apache/activemq/broker/AMQ4351Test.java,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,,13.57894737
activemq-core/src/main/java/org/apache/activemq/openwire/OpenWireFormat.java,14,0,0,0,0,10,0,8,2,0,0,0,0,0,0,0,0,0,0,,1.789473684
activemq-core/src/main/java/org/apache/activemq/management/StatisticImpl.java,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.473684211
activemq-core/src/main/java/org/apache/activemq/openwire/v4/SessionInfoMarshaller.java,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.789473684
activemq-amqp/src/test/java/org/apache/activemq/transport/amqp/joram/ActiveMQSSLAdmin.java,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,,4.894736842
activemq-core/src/test/java/org/apache/activemq/transport/stomp/StompNIOTest.java,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.315789474
activemq-core/src/test/java/org/apache/activemq/security/SecurityTestSupport.java,56,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,3.368421053
activemq-core/src/test/java/org/apache/activemq/bugs/VMTransportClosureTest.java,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,,6.894736842
activemq-client/src/main/java/org/apache/activemq/openwire/v11/WireFormatInfoMarshaller.java,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,,8.105263158
activemq-client/src/main/java/org/apache/activemq/command/SubscriptionInfo.java,0,0,0,0,0,0,0,0,0,0,7,0,0,23,0,0,0,0,0,,1.578947368
activemq-cpp/src/test/activemq/util/QueueTest.h,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.894736842
activemq-core/src/main/java/org/apache/activemq/broker/region/TempTopic.java,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.105263158
activemq-core/src/main/java/org/apache/activemq/openwire/v6/ConnectionInfoMarshaller.java,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.263157895
activemq-core/src/main/java/org/apache/activemq/openwire/v4/MessageDispatchMarshaller.java,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.526315789
activemq-core/src/test/java/org/apache/activemq/usecases/MultiBrokersMultiClientsUsingTcpTest.java,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.052631579
activemq-core/src/test/java/org/apache/activemq/advisory/MasterSlaveTempQueueMemoryTest.java,0,0,0,190,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10.78947368
activemq-core/src/main/java/org/apache/activemq/blob/FTPBlobUploadStrategy.java,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.631578947
